,_id,consommation_energie,classe_consommation_energie,estimation_ges,surface_thermique_lot,classe_estimation_ges,annee_construction,tr002_type_batiment_description,code_insee_commune_actualise,geo_adresse,consommation_surface_ratio
217,6W0S9QDlxEDcl8tfDLriT,166.83,4.0,39.03,106.0,5.0,2008.0,Maison Individuelle,27022,14 Rue de Verdun 27940 Le Val d'Hazey,1.573867924528302
218,BvwZnmV8De_9yK0tNq5rx,380.0,6.0,21.0,77.0,4.0,1948.0,Maison Individuelle,28130,18 Rue de Milleschamps 28250 Digny,4.935064935064935
219,bN3TsoYA0YKwbwHEWkVIV,240.53,5.0,53.8,96.74,5.0,1968.0,Maison Individuelle,29058,15 Chemin de Ménez Rouz 29170 Fouesnant,2.4863551788298532
231,ycr1xu9s32g1GMycKWuRA,262.83,5.0,10.11,88.0,2.0,1975.0,Maison Individuelle,39472,1 Chemin de la Louvaire 39230 Rye,2.986704545454545
232,GbOYIQBpNdwdfFPM_XwsS,179.0,4.0,8.0,95.0,2.0,2006.0,Maison Individuelle,40090,Route de Biarnès 40360 Donzacq,1.8842105263157896
233,AOFDtOScZRU320ZTaMXze,200.64,4.0,60.19,164.67,6.0,1974.0,Maison Individuelle,41137,22 Route de la Grivelière 41150 Mesland,1.218436873747495
234,UVlZYEff_RFDzxUcJfqF_,318.57,5.0,74.55,75.93,6.0,1970.0,Logement,42218,146 rue de la richelandière 42100 Saint-Étienne,4.195574871592256
235,YMKhZeudizWkRvVwm1Ycz,329.24,5.0,18.54,91.64,3.0,2008.0,Maison Individuelle,43185,3 Impasse Marielle et Elvire Barbier 43250 Sainte-Florine,3.592754255783501
236,TXrC0JZcLA0q_FeNjJdHI,319.73,5.0,17.31,82.2,3.0,2002.0,Maison Individuelle,44008,3 Rue Sainte-anne 44450 Divatte-sur-Loire,3.8896593673965936
241,oV-dv8_XZIeQa9E9Z-dTo,621.0,7.0,38.0,86.0,5.0,1948.0,Maison Individuelle,49160,Rue du Champ de Foire 49123 Ingrandes-Le Fresne sur Loire,7.22093023255814
243,UaW2PsodEe3d4elXgZ9Qn,300.0,5.0,16.0,98.0,3.0,1978.0,Maison Individuelle,51300,17 Grande Rue 51290 Isle-sur-Marne,3.061224489795918
244,rW7HM-BI_Cb6ra3ZZf0id,360.0,6.0,6.0,113.0,2.0,1947.0,Maison Individuelle,52320,Rue de la Grande Violette 52240 Merrey,3.185840707964602
245,ZlarA0C4yIv5WKP28LTdJ,260.0,5.0,54.0,85.0,5.0,1948.0,Maison Individuelle,53140,19 Rue des Vallons 53950 Louverné,3.0588235294117645
253,TSK0FogBlGEVIhCpQCmvn,570.0,7.0,35.0,52.0,4.0,1948.0,Maison Individuelle,61150,8 Rue des Jardins 61370 Échauffour,10.961538461538462
254,tz7B1sUODNCrf4dpcgFoH,250.75,5.0,58.68,118.6,6.0,1930.0,Maison Individuelle,62119,120 Rue de Fouquereuil 62400 Béthune,2.11424957841484
259,WCs55QXh9jPbUCUwLejBo,302.14,5.0,15.89,59.0,3.0,1983.0,Logement,67073,13 Rue Clemenceau 67730 Châtenois,5.121016949152542
260,t42iv_81iQbK4-thKRVce,289.0,5.0,86.0,89.0,7.0,1978.0,Maison Individuelle,68270,5 Rue Deck 68120 Richwiller,3.247191011235955
262,XQKXUplDASurdiZWDNzrR,224.98,4.0,12.56,128.0,3.0,1947.0,Maison Individuelle,70064,4 Route de Courmont 70400 Belverne,1.75765625
268,J-zd3Zd_w_iq3j66aZh6m,251.07,5.0,58.75,61.8,6.0,1965.0,Logement,76183,Rue de la Gare 76400 Colleville,4.062621359223301
269,olMx1-QoLfRPwpNa9AdWH,104.95,3.0,1.62,54.0,1.0,1900.0,Logement,77078,Rue de Vaux 77260 Chamigny,1.9435185185185186
271,CvBASFrzZX2S5mf67ZVEI,398.09,6.0,86.58,71.5,7.0,1963.0,Maison Individuelle,79062,1 Rue Bir Hakeim 79140 Cerizay,5.567692307692307
274,ApHZoHTiax_89EWz_HNuO,234.65,5.0,4.47,99.86,1.0,1999.0,Maison Individuelle,82121,990 Avenue de Falguières 82000 Montauban,2.349789705587823
275,eB2Wh1w1PBdNVHaLDZqNi,129.95,3.0,30.41,52.71,4.0,1961.0,Logement,83034,6 Avenue des Alouettes 83320 Carqueiranne,2.4653765888825645
277,MMLt8gFRM5uNEocKlc7pC,343.0,6.0,103.0,95.0,7.0,1948.0,Maison Individuelle,85170,le pre bouton 85240 Foussais-Payré,3.610526315789474
278,NlP38thmRUh-tfBL2Dzet,290.32,5.0,54.57,151.0,5.0,1972.0,Maison Individuelle,86088,La Berlandrie 86240 Croutelle,1.9226490066225166
285,N2W3EyDx3Jg4zqrZ70J-U,238.69,5.0,55.85,81.0,5.0,1930.0,Maison Individuelle,93079,40 Rue Gabriel Péri 93430 Villetaneuse,2.94679012345679
286,5q5I_UkbxOAumlXsk72vI,210.37,4.0,10.01,82.0,2.0,2007.0,Logement,94058,82 Avenue du Général de Gaulle 94170 Le Perreux-sur-Marne,2.5654878048780487
296,MGuCnMWT-jtGzxQGsFUwf,348.0,6.0,81.0,41.15,7.0,1948.0,Logement,09300,Avenue Maréchal Leclerc (Pont) Die,8.456865127582017
303,2ZQzgxWEoiHKqIV0WRVEC,28.32,1.0,6.63,87.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.32365714285714287
305,eSymLdAlG3BmnseK1z7I8,215.33,4.0,10.53,86.43,2.0,1998.0,Maison Individuelle,18001,Les Loges 18250 Achères,2.491380307763508
308,gmulPsm7jJ3FKXVyT6ayo,224.24,4.0,10.43,77.34,2.0,1978.0,Maison Individuelle,22030,7 Rue de la Mairie 22300 Caouënnec-Lanvézéac,2.899405223687613
313,fhPER55_vHk5v6oXUhjq1,110.25,3.0,25.79,106.38,4.0,2004.0,Maison Individuelle,27022,14 Rue de Verdun 27940 Le Val d'Hazey,1.0363790186125212
315,2eC-AUH8D-u4LhHyRxzYi,280.3,5.0,13.11,85.39,3.0,1982.0,Maison Individuelle,29002,Kerouarn 29300 Arzano,3.282585782878557
317,JBWjYVt9243m-96m-i2c3,229.25,4.0,9.68,44.69,2.0,2000.0,Logement,20150,cocody village 20260 Lumio,5.129782949205639
319,nnltJ5XcM0EA8M9_ubjn_,166.0,4.0,8.0,85.0,2.0,1989.0,Maison Individuelle,31100,Avenue de Saverdun 31560 Calmont,1.9529411764705882
320,UE8CVmfuE8WxFpqHrIsOC,208.37,4.0,10.65,100.0,2.0,1985.0,Maison Individuelle,32001,Impasse des Ecoles 32290 Aignan,2.0837
322,iciQO_4LUvZkOVCe98sj7,220.11,4.0,10.93,87.0,2.0,1989.0,Maison Individuelle,34022,2 Rue Edouard Manet 34670 Baillargues,2.5300000000000002
326,n5P6d4D1QNQxhtCFZlJo_,226.0,4.0,8.0,105.0,2.0,2006.0,Maison Individuelle,38270,Lotissement le Mas de la Murette 38140 La Murette,2.1523809523809523
327,YODpTurj5VaWcfjToD_p3,288.0,5.0,67.0,70.0,6.0,1975.0,Logement,39198,38 Avenue Georges Pompidou 39100 Dole,4.114285714285714
328,zvHqATjOFyMHrQdqGYJjh,201.0,4.0,6.0,80.0,2.0,2005.0,Maison Individuelle,40090,Rue de l'Eglise 40360 Donzacq,2.5125
329,aKXKBRB-jdUyfHfS5VpoJ,276.81,5.0,64.77,108.25,6.0,1975.0,Maison Individuelle,41101,21 Rue du Moulin à Vent 41190 Herbault,2.557136258660508
331,eaQgE0gH0heduqeBScBcY,213.11,4.0,6.94,123.0,2.0,1900.0,Maison Individuelle,43128,Le Bourg 43160 Malvières,1.7326016260162602
332,K_kBZ7qym0vZ4e_V49mph,229.87,4.0,10.96,71.5,2.0,2010.0,Logement,44109,2 Route de Carquefou 44300 Nantes,3.214965034965035
333,hd4yojMM7jjNyGJou1SGo,502.0,7.0,123.0,77.93,7.0,1975.0,Maison Individuelle,45190,Rue Jean Rostand 45330 Le Malesherbois,6.441678429359682
335,U68qqgoi6SkvoBMqBRfQa,197.67,4.0,23.02,284.0,4.0,1948.0,Maison Individuelle,47167,2 boulevard Armand Fallières 47170 Mézin,0.6960211267605634
337,3UbhhO8dlcgJsCR6segq0,214.15,4.0,11.87,140.0,3.0,1999.0,Maison Individuelle,49007,2 Rue du Hanipet 49100 Angers,1.529642857142857
338,7lvDLouTraRTSoRAgOAy1,129.0,3.0,30.0,125.0,4.0,1989.0,Maison Individuelle,50470,36 Les Forges 50500 Terre-et-Marais,1.032
340,6N0D0g81PILvsMOXox84x,348.0,6.0,11.0,47.0,3.0,1947.0,Logement,52100,22 Rue de l’Eglise (Blaise) 52330 Colombey les Deux Églises,7.404255319148936
341,yoDi2foi_W3oDOLv7FNkW,159.0,4.0,33.0,114.7,4.0,1947.0,Maison Individuelle,53950,Gare (Pont) Laveissière,1.3862249346120314
343,Z5XTfJcL3kChjw9TRbrR8,353.0,6.0,105.0,77.0,7.0,1948.0,Maison Individuelle,55210,Rue de la Graviere 55260 Gimécourt,4.584415584415584
344,RKzabvDHUS7I2uxf8Akh0,581.05,7.0,32.93,31.68,4.0,1950.0,Logement,56121,3 Rue Émile Chartier dit Alain 56100 Lorient,18.341224747474747
345,z55eDD_x_hX6xX7buqacq,212.59,4.0,14.83,47.5,3.0,2013.0,Logement,57047,23 Rue Pierre Klein 57690 Bambiderstroff,4.4755789473684215
346,MSix0M8DUt-kPg7MnN-5P,170.72,4.0,39.95,54.52,5.0,2000.0,Logement,58095,18 Rue Paul Bert 58300 Decize,3.131327953044754
350,qTmzKNhpGBDm-rVSWBhau,636.0,7.0,134.0,64.13,7.0,1948.0,Maison Individuelle,62330,129 Rue de Lille 62149 Festubert,9.917355371900827
351,rfmijyfpI4oY746iU24h5,360.96,6.0,21.19,89.13,4.0,1978.0,Maison Individuelle,63050,5 Rue des Rivaux 63570 Brassac-les-Mines,4.049814877145742
352,2SAOXI5zttIBheEi2-_J7,212.95,4.0,9.92,65.65,2.0,1965.0,Logement,64445,7 rue maréchal Foch 64000 Pau,3.243716679360243
353,IbLs9AVzqLk4_9CpFDFaP,92.9,3.0,3.36,128.45,1.0,2006.0,Maison Individuelle,65002,chemin des Arpens 65100 Adé,0.7232386142467887
354,YNn6zzvXHMMk-bZWmaSzy,105.47,3.0,21.53,92.0,4.0,1981.0,Logement,66136,12 Rue du Roc du Midi 66100 Perpignan,1.146413043478261
358,pLRNmFQQcIZkTWBIxefGD,169.82,4.0,39.74,150.0,5.0,1947.0,Maison Individuelle,70064,7 Grande Rue 70400 Belverne,1.1321333333333332
360,wt_vFz_jLKA1ygl0Eq2KV,225.35,4.0,44.28,77.0,5.0,1975.0,Maison Individuelle,72109,Lieu Dit le Boulay 72140 Crissé,2.9266233766233767
361,UAEA4_L-elYMT6Hn9xDbt,233.33,5.0,54.6,99.34,5.0,1987.0,Maison Individuelle,73328,168 Rue du colonel bachetta 73420 Viviers-du-Lac,2.3488020938192067
362,FCPBvCEhz0CBv6zMQcveR,89.0,2.0,4.0,319.45,1.0,1989.0,Maison Individuelle,74140,Chemin de la Linget 74420 Habère-Poche,0.2786038503678197
363,-cY-fZAh0lzrthPIxjjpB,377.68,6.0,12.29,38.9,3.0,1850.0,Logement,75112,55 Rue Traversière 75012 Paris,9.708997429305914
367,NhDhyf4aKH0LncnZokXVZ,293.51,5.0,13.15,44.0,3.0,1949.0,Maison Individuelle,79001,10 Rue de la Poste 79240 L'Absie,6.670681818181818
370,BTn8NGqnaE32rJ2DQC0hW,728.51,7.0,47.16,28.03,5.0,1973.0,Logement,82121,24 Rue Joseph Lakanal 82000 Montauban,25.990367463432037
373,5xavO4Udz1rA9cWUjuN7X,127.0,3.0,24.0,152.0,4.0,1947.0,Maison Individuelle,85170,la menaudière 85240 Foussais-Payré,0.8355263157894737
376,5GT_NnifKrZyNqM7iIaey,288.31,5.0,61.44,90.0,6.0,1960.0,Maison Individuelle,88143,1 Rue de Derriere la Ville 88330 Domèvre-sur-Durbion,3.2034444444444445
377,CWp4J0C2L9MRcxXEyTlTy,217.0,4.0,65.0,185.0,6.0,1978.0,Maison Individuelle,89440,5 Rue des Chenes 89330 Verlin,1.172972972972973
378,Xy-pld1_j1xp-G9soNPCN,282.52,5.0,66.11,132.0,6.0,1850.0,Maison Individuelle,90005,4 Rue du Général de Gaulle 90200 Auxelles-Bas,2.14030303030303
380,ijD0ATpTWBKip0N9AgPt_,489.93,7.0,114.64,81.71,7.0,1974.0,Logement,92026,48 Boulevard de la Mission Marchand 92400 Courbevoie,5.995961326643006
381,HJRrxI21sYn0jcMqRp1nt,238.69,5.0,55.85,81.0,5.0,1930.0,Maison Individuelle,93079,40 Rue Gabriel Péri 93430 Villetaneuse,2.94679012345679
395,NxhfLVhyI-cbhB_bjwM7f,650.2,7.0,173.79,80.17,7.0,1974.0,Maison Individuelle,12076,Rue du Couvent 12320 Conques-en-Rouergue,8.110265685418486
397,RaWMIYkxNh9NjCrZxGMIw,270.0,5.0,66.0,100.0,6.0,1948.0,Maison Individuelle,14420,4 Rue Chasles 14140 Livarot-Pays-d'Auge,2.7
398,FFmWWC70pmwoFXQ8EMsdi,325.78,5.0,76.62,107.0,6.0,1900.0,Maison Individuelle,15099,Pont de Tagenac 15260 Neuvéglise-sur-Truyère,3.0446728971962616
399,5ZyIIPDbA88P0vruZ1kBj,28.26,1.0,6.61,87.5,2.0,2006.0,Maison Individuelle,16015,Hameau des Rossignols 16000 Angoulême,0.3229714285714286
